date,open,high,low,close,volume
2024-07-01,149.95,150.48,149.73,149.83,2753969
2024-07-02,149.73,150.81,149.56,150.73,6745338
2024-07-03,150.4,153.13,150.21,152.37,6966621
2024-07-04,152.61,153.72,152.38,152.62,5735543
2024-07-05,152.79,154.96,152.2,154.77,3330166
2024-07-08,153.55,156.71,152.84,156.24,6314018
2024-07-09,156.64,158.74,156.57,157.95,4559150
2024-07-10,158.25,158.66,157.74,158.38,5717738
2024-07-11,158.16,158.55,156.85,157.05,8503631
2024-07-12,157.41,158.53,154.88,155.28,6253726
